timestamp,ADC,V,T,rH,aH,P,fanSpeed,V0,Rs/R0,CH4,CH4LR
2022-06-28 12:30:31.090385,29744,1.13464,40,26,0.01314,1000,0,1.14645,1.10673,5.25,5.25
2022-06-28 12:32:32.081734,29741,1.13453,40,25,0.01264,1000,0,1.14403,1.08594,5.63,5.63
2022-06-28 12:34:33.081957,29760,1.13525,40,28,0.01424,1001,0,1.15177,1.14853,4.59,4.59
2022-06-28 12:36:34.082233,29808,1.13708,40,31,0.01576,1001,0,1.15913,1.19502,4.08,4.08
2022-06-28 12:38:35.082498,29861,1.13911,40,34,0.01690,1001,0,1.16465,1.22188,3.94,3.94
2022-06-28 12:40:36.082761,29906,1.14082,39,36,0.01775,1001,0,1.16877,1.23922,3.90,3.90
2022-06-28 12:42:37.083026,29945,1.14231,39,38,0.01845,1001,0,1.17215,1.25226,3.90,3.90
2022-06-28 12:44:38.083283,29976,1.14349,39,39,0.01893,1001,0,1.17448,1.25934,3.94,3.94
2022-06-28 12:46:39.083532,29995,1.14422,38,41,0.01949,1001,0,1.17719,1.27424,3.82,3.82
2022-06-28 12:48:40.083754,30009,1.14475,38,42,0.01953,1001,0,1.17738,1.27025,3.95,3.95
2022-06-28 12:50:41.084057,30017,1.14506,38,42,0.01944,1001,0,1.17695,1.26340,4.10,4.10
2022-06-28 12:52:42.084325,30021,1.14521,38,42,0.01944,1001,0,1.17695,1.26183,4.15,4.15
2022-06-28 12:54:43.084585,30020,1.14517,38,43,0.01953,1001,0,1.17738,1.26585,4.09,4.09
2022-06-28 12:56:44.085092,30019,1.14513,37,44,0.01956,1001,0,1.17753,1.26746,4.07,4.07
2022-06-28 12:58:45.085360,30022,1.14525,37,44,0.01974,1001,0,1.17840,1.27340,4.00,4.00
2022-06-28 13:00:46.085613,30032,1.14563,37,45,0.02014,1000,0,1.18034,1.28534,3.86,3.86
2022-06-28 13:02:47.085879,30046,1.14616,37,46,0.02036,1001,0,1.18140,1.28848,3.88,3.88
2022-06-28 13:04:48.086145,30056,1.14655,37,46,0.02055,1000,0,1.18232,1.29188,3.88,3.88
2022-06-28 13:06:49.086433,30060,1.14670,37,46,0.02043,1000,0,1.18174,1.28557,3.99,3.99
2022-06-28 13:08:50.088510,30060,1.14670,37,47,0.02050,1000,0,1.18208,1.28833,3.96,3.96
2022-06-28 13:10:51.089372,30062,1.14677,37,48,0.02060,1000,0,1.18256,1.29154,3.92,3.92
2022-06-28 15:21:37.861574,29642,1.13075,35,34,0.01349,1000,0,1.14814,1.16294,3.88,3.88
2022-06-28 15:23:39.853967,29661,1.13148,35,39,0.01529,1001,0,1.15686,1.23611,2.87,2.87
2022-06-28 15:25:41.854208,29708,1.13327,35,43,0.01695,1001,0,1.16489,1.28940,2.36,2.36
2022-06-28 15:27:43.854486,29760,1.13525,35,46,0.01831,1001,0,1.17148,1.32563,2.12,2.12
2022-06-28 15:29:45.854745,29808,1.13708,35,49,0.01942,1001,0,1.17685,1.35170,2.00,2.00
2022-06-28 15:31:47.855043,29849,1.13865,35,51,0.02021,1001,0,1.18067,1.36655,2.00,2.00
2022-06-28 15:33:49.855287,29884,1.13998,35,52,0.02080,1001,0,1.18353,1.37550,2.04,2.04
2022-06-28 15:35:51.857053,29915,1.14117,35,54,0.02160,1001,0,1.18740,1.39458,1.93,1.93
2022-06-28 15:37:53.856419,29940,1.14212,35,55,0.02177,1001,0,1.18823,1.39033,2.09,2.09
2022-06-28 15:39:55.856733,29955,1.14269,35,55,0.02177,1001,0,1.18823,1.38366,2.23,2.23
2022-06-28 15:41:57.856975,29963,1.14300,35,55,0.02178,1001,0,1.18827,1.38046,2.31,2.31
2022-06-28 15:43:59.857245,29971,1.14330,35,56,0.02184,1001,0,1.18857,1.37942,2.35,2.35
2022-06-28 15:46:01.857525,29979,1.14361,35,56,0.02191,1001,0,1.18890,1.37868,2.40,2.40
2022-06-28 15:48:03.857773,29985,1.14384,35,56,0.02185,1001,0,1.18861,1.37361,2.49,2.49
2022-06-28 15:50:05.858056,29990,1.14403,35,57,0.02200,1000,0,1.18934,1.37749,2.46,2.46
2022-06-28 15:52:07.860152,29997,1.14429,35,57,0.02205,1000,0,1.18958,1.37652,2.50,2.50
2022-06-28 15:54:09.860381,30002,1.14449,34,57,0.02199,1000,0,1.18929,1.37183,2.59,2.59
2022-06-28 15:56:11.860638,30006,1.14464,34,57,0.02196,1000,0,1.18915,1.36892,2.64,2.64
2022-06-28 15:58:13.860905,30011,1.14483,34,57,0.02201,1000,0,1.18939,1.36877,2.67,2.67
2022-06-28 16:00:15.861176,30016,1.14502,34,57,0.02200,1000,0,1.18934,1.36622,2.72,2.72
2022-06-28 16:02:17.861451,30019,1.14513,34,58,0.02223,1000,0,1.19045,1.37417,2.63,2.63
2022-06-28 16:04:19.861698,30023,1.14529,34,58,0.02225,1000,0,1.19055,1.37316,2.66,2.66
2022-06-28 16:06:21.861951,30026,1.14540,34,58,0.02221,1000,0,1.19036,1.37032,2.71,2.71
2022-06-28 16:08:23.862207,30029,1.14552,34,58,0.02219,1001,0,1.19026,1.36817,2.75,2.75
2022-06-28 16:10:25.862489,30035,1.14574,34,58,0.02207,1000,0,1.18968,1.36092,2.87,2.87
2022-06-28 16:12:27.864358,30039,1.14590,34,58,0.02206,1000,0,1.18963,1.35874,2.92,2.92
2022-06-28 16:14:29.864538,30045,1.14613,34,58,0.02211,1000,0,1.18987,1.35816,2.95,2.95
2022-06-28 16:16:31.864834,30051,1.14635,34,57,0.02210,1000,0,1.18982,1.35532,3.01,3.01
2022-06-28 16:18:33.865064,30052,1.14639,34,57,0.02208,1000,0,1.18973,1.35409,3.04,3.04
2022-06-28 16:20:35.865335,30052,1.14639,34,57,0.02200,1000,0,1.18934,1.35093,3.08,3.08
2022-06-28 16:22:37.865599,30049,1.14628,34,58,0.02199,1000,0,1.18929,1.35174,3.06,3.06
2022-06-28 16:24:39.865852,30046,1.14616,34,58,0.02211,1000,0,1.18987,1.35783,2.97,2.97
2022-06-28 16:26:41.866131,30052,1.14639,34,58,0.02200,1000,0,1.18934,1.35093,3.09,3.09
2022-06-28 16:28:43.866668,30056,1.14655,34,59,0.02204,1000,0,1.18953,1.35074,3.11,3.11
2022-06-28 16:30:45.867086,30064,1.14685,34,59,0.02223,1000,0,1.19045,1.35493,3.09,3.09
2022-06-28 16:32:47.867195,30057,1.14658,34,59,0.02236,1000,3,1.19108,1.36305,2.95,2.95
2022-06-28 16:34:49.869363,30075,1.14727,34,59,0.02227,1000,0,1.19065,1.35188,3.18,3.18
